주문일,배송방식,고객명,고객분류,시군구,시도,지역,제품대분류,제품소분류,이름,매출,수량,할인율,이익
2020.11.9,2등급,Claire Gute,개인고객,천안시,충청남도,충청,가구,책장,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2020.11.9,2등급,Claire Gute,개인고객,천안시,충청남도,충청,가구,의자,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
2020.6.13,2등급,Darrin Van Huff,기업고객,송파구,서울,수도권,사무용품,라벨,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
2020.10.11,표준등급,Sean O'Donnell,개인고객,영광군,전라남도,전라,가구,테이블,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
2020.10.11,표준등급,Sean O'Donnell,개인고객,영광군,전라남도,전라,사무용품,저장고,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
2019.6.9,표준등급,Brosina Hoffman,개인고객,송파구,서울,수도권,가구,기타 가구,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
2019.6.9,표준등급,Brosina Hoffman,개인고객,송파구,서울,수도권,사무용품,아트,Newell 322,7.28,4,0,1.9656
2019.6.9,표준등급,Brosina Hoffman,개인고객,송파구,서울,수도권,전자제품,전화기,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
2019.6.9,표준등급,Brosina Hoffman,개인고객,송파구,서울,수도권,사무용품,바인더,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
2019.6.9,표준등급,Brosina Hoffman,개인고객,송파구,서울,수도권,사무용품,가정용 전자기기,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
2019.6.9,표준등급,Brosina Hoffman,개인고객,송파구,서울,수도권,가구,테이블,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
2019.6.9,표준등급,Brosina Hoffman,개인고객,송파구,서울,수도권,전자제품,전화기,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
2019.4.16,표준등급,Andrew Allen,개인고객,은평구,서울,수도권,사무용품,종이,Xerox 1967,15.552,3,0.2,5.4432
